title,company,location,link,source,date_scraped,match_score
"Data Analyst, eCommerce",RevolutionParts,United States,https://www.linkedin.com/jobs/view/data-analyst-ecommerce-at-revolutionparts-4286216518,LinkedIn,2025-08-16,0.37980236107410964
Data Analyst,The Walt Disney Studios,"Burbank, CA",https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-studios-4286906003,LinkedIn,2025-08-16,0.34310106117375533
Associate Data Analyst,The Walt Disney Studios,"Burbank, CA",https://www.linkedin.com/jobs/view/associate-data-analyst-at-the-walt-disney-studios-4286900709,LinkedIn,2025-08-16,0.3095798850390736
Business Data Analyst,CryptoCurrency ICO/Airdrop,United States,https://www.linkedin.com/jobs/view/business-data-analyst-at-cryptocurrency-ico-airdrop-4286466408,LinkedIn,2025-08-16,0.30413703578548246
Data Analyst (Entry Level),Storesight,"Fayetteville, AR",https://www.linkedin.com/jobs/view/data-analyst-entry-level-at-storesight-4286629781,LinkedIn,2025-08-16,0.2963641169421185
